topic_id,global_top_words,n_docs_total,first_month,last_month,n_months_active,n_subcluster_hits
0,"mr scheele, thursfield, tengzhong, mr thursfield, scheele said, mr schrempp, mr gettelfinger, scheele, hubbert, mr reitzle, schrempp said, mr toyoda, koenigsegg, mr pischetsrieder, schrempp",6861,2000-01,2019-06,118,151
1,"ventures join, ventures included, paul venture, round included, round joined, prism venture, calif completed, led round, series funding, kodiak venture, sprout group, cerent, included existing, calif gained, participated round",3764,2000-01,2005-10,70,92
2,"ultrabooks, nehalem, ad blocking, sendo, wallstreetbets, tom com, hkt, netbooks, cyberstore, sapura, viewability, mesdaq, cyberworks, gprs, inotera",4606,2000-01,2021-02,112,121
3,"mr zelaya, judge griesa, zelaya, micheletti, labastida, mr fujimori, mahuad, griesa, mr machinea, clarín, mr redrado, mr lagos, daniel pollack, noboa, montesinos",1765,2000-01,2016-02,49,55
4,"a3xx, buttrick, aa com, lowestfare, canadian airlines, nieland, bonus miles, md 11, paper tickets, airline web, aadvantage, trippler, garment bag, lowestfare com, gangwal",1011,2000-01,2003-08,24,28
5,"mr farrah, webhouse, mrs lewis, elderhostel, hanigan, mize, ms merrick, mr emmerson, furniture com, miadora, futurestep, urbanfetch, mr boaz, strober, lenk",1485,2000-01,2008-10,35,47
6,"canvassing board, county canvassing, nationwide margin, gore plan, canvassing boards, manual recounts, hand recounts, manual recount, sauls, poll oct, farhadian, pariente, presidential electors, gore campaign, gore aides",5729,2000-01,2021-08,79,113
7,"ephedra, buspar, medinol, natrecor, diflucan, daca, iressa, lotronex, integrilin, immunex, reproductive cloning, hamied, progestin, transkaryotic, dr venter",5882,2000-01,2020-07,104,134
8,"econnect, mr slatkin, sawtelle, mr sawtelle, flv, davidge, mr davidge, magnan, nasd regulation, asensio, nyquist, ameriserve, slatkin, mr jakob, rent way",1747,2000-01,2004-11,40,42
9,"chris craft, videotron, mr kennard, mtvi, ms fili, mr dahlberg, time domain, upn, fili krushel, krushel, kennard said, nelvana, mr padden, langhoff, mediaone",494,2000-01,2011-10,13,15
10,"rapleaf, voom, mr ergen, ceglia, mr costolo, costolo said, ergen, charles dolan, admeld, ergen said, quora, hughes echostar, emi time, playdom, nextwave",2203,2000-01,2017-04,62,67
11,"mr belnick, belnick, mulcahey, ljm, glisan, judge lake, michael mulcahey, messrs kozlowski, working tyco, swartz tyco, mr grubman, mr petrocelli, obus, mr fastow, mr glisan",3658,2000-01,2011-10,77,91
12,"ljm, ljm2, nov enron, enrononline, enron board, berardino, mr fastow, enron senior, partnerships enron, enron shares, enron treasurer, fastow, spes, enron account, ees",1543,2000-01,2008-05,34,45
13,"donaghy, mr stitzer, dr garnier, stitzer, mr flannery, pliva, bluelight, mr schoewe, mr isdell, schoewe said, desert sky, mr culp, genset, schoewe, mr eyler",1951,2000-01,2018-11,58,60
14,"tecnost, mib 30, euros olivetti, mibtel, mib30, seat pg, mibtel index, euros telecom, milan shares, nuovo mercato, mr cuccia, compart, mib30 index, euros milan, cuccia",1282,2000-01,2019-07,40,44
15,"santo international, santo financial, ms tilton, eurofin, sacklers, ubiome, caspersen, mr shkreli, oceanografía, itt tech, greebel, shkreli, ashikaga, kalobios, beechwood",3476,2000-01,2020-11,95,99
16,"shays meehan, blendstock, gasoline blendstock, khurais, daukoru, e85, beutel president, roukema, ritterbusch, ghawar, firm cameron, schork, december wheat, addison armstrong, jatropha",2067,2000-01,2009-08,46,54
17,"passione, rollwipes, onmoney, glotzbach, mr iverson, swingline, dasilva, bowerman, mr ripken, mr capone, coughlin told, onmoney com, mr mcdougal, linktone, ripken",305,2000-01,2005-04,12,12
18,"banyu, ltcb, ashikaga, mr gettelfinger, shoei, sogo, mr yashiro, 000 uaw, gettelfinger, delphi workers, hilley, employee price, nasdaq japan, ford workers, nippon credit",1433,2000-01,2017-08,44,48
19,"printcafe, optus, singtel, anatel, mobileone, hih, ipstar, starmedia, telefonica del, vodafone pacific, patagon, mr galvan, exxel, optus shares, taiwan cellular",2449,2000-01,2015-07,57,63
20,"mr duisenberg, duisenberg said, euro banknotes, hicp, duisenberg, insee said, eurosystem, mr welteke, welteke, welteke said, upward risks, m3 growth, mr issing, hicp inflation, issing",826,2000-01,2014-10,23,24
21,"sunplus, teleglobe, mr forstmann, velocita, antec, xo, williams communications, weitzen, crossgain, performance score, mr weitzen, ixc, kpnqwest, mcafee com, forstmann",981,2000-01,2003-12,24,30
22,"mr cunha, pmdb, mr temer, janot, leysen, mr esteves, ms rousseff, eduardo cunha, mr schaeuble, mr giscard, temer, mr odebrecht, hdz, petrosaudi, mr moro",1789,2000-01,2017-08,46,51
23,"pesos manila, philippines shares, yasay, mr yasay, 10 centavos, bw resources, pesos ayala, centavos, 50 centavos, unchanged volume, manila shares, 20 centavos, centavos 10, electric class, miguel class",479,2000-01,2005-02,17,18
24,"led cac, nouveau marche, index actively, rose euros, racal, euros ahead, euros paris, alcatel rose, euros vivendi, thomson csf, euros cap, stmicroelectronics dropped, 90 euros, euros chip, coflexip",839,2000-01,2011-06,29,30
25,"archegos, greensill, day compound, compound yields, compound yield, simple yields, performance score, pbhg, simple yield, day simple, gfg, taxable funds, definitions notes, exempt shares, taxable shares",5055,2000-01,2021-10,129,146
26,"st 212, tel 44, tel 49, 30 tel, tel 39, marsalis, street 212, tel 33, ave 212, balanchine, 9595, bandleader, american songbook, stravinsky, modern jazz",7801,2000-01,2018-12,89,153
27,"dpj, mr hatoyama, mr kan, hatoyama, mr ozawa, mr kamei, mr hayami, mr obuchi, hayami, kamei, mr fujii, mr shirakawa, mr mori, obuchi, ozawa",1854,2000-01,2017-10,51,56
28,"harvoni, opdivo, praluent, depomed, repatha, imbruvica, tecfidera, zolgensma, ubiome, baxalta, ornskov, biosimilar, brandicourt, perrigo, philidor",5779,2000-01,2021-10,126,155
29,"spike protein, remdesivir, biontech vaccine, necc, pfizer biontech, oxford astrazeneca, biontech, mrna, riata, omicron, astrazeneca vaccine, moderna vaccine, bntx, novavax, pfizer moderna",4727,2000-01,2021-12,91,112
30,"francs sterling, francs dollar, mazanec, francs pound, sterling trading, francs late, american session, francs ice, york sterling, toronto dollar, york euro, sinche, chandler chief, yen 107, com bedminster",4919,2000-01,2015-01,143,151
31,"ministers welcomed, esquel, juch, khao san, safeguard quotas, global quota, ministers noted, mr bassett, apec region, liberalisation, farm tariffs, apec, siem reap, balita, suggestions hours",558,2000-01,2006-07,22,22
32,"marjah, mr karzai, mr gusinsky, gen mcchrystal, gusinsky, mr zardari, qayum, kayani, jirga, mr mehsud, itera, borodin, gen kayani, gen allen, mr ghani",5439,2000-01,2021-09,126,151
33,"everaert, euros philips, benchmark 24, euros amsterdam, company upc, aex index, aex, amsterdam main, baan, amsterdam shares, dutch shares, euros upc, asm lithography, getronics, euros kpn",484,2000-01,2001-05,17,19
34,"mr stoiber, stoiber, bunia, jiayuan, qihoo, liugong, longhua, nie, ncri, duelfer, 3leaf, taobao mall, qaqaa, al qaqaa, vie structure",1002,2000-01,2015-12,39,40
35,"mr suthep, coverage afghanistan, ibra, suthep, ms yingluck, wahid government, sabirin, west timor, mr hutomo, hutomo, misuari, mr wahid, mr subianto, yingluck, bank bali",2350,2000-01,2021-12,69,77
36,"mr sperry, return page, y2k compliant, y2k problems, y2k bug, y2k, y2k rollover, y2k related, minor glitches, y2k preparations, y2k issues, sperry, y2k computer, millennium bug, luftman",29,2000-01,2000-01,1,1
37,"tel 852, 15 admission, admission hk, st 212, tel 86, hall 11, mrs brooks, diebenkorn, place victoria, victoria memorial, singapore symphony, 30 admission, lomo, klimt, davidge",855,2000-01,2013-04,33,37
38,"cny6, pacific sector, dollar cny6, yuan nondeliverable, implying fall, currency floats, terms edt, stocks laggers, philippine shares, terms est, issues laggards, taiwan equities, laggers, dealings dollar, fall yuan",4829,2000-01,2021-03,136,151
39,"elektrim, mobilcom, mr esser, mr villalonga, atecs, mr schmid, liberty surf, mr gent, panafieu, kirchmedia, keuntje, degiovanni, mr bon, scheurle, ramqvist",2124,2000-01,2004-06,36,49
40,"sales prevailing, spieker, conditions interviews, corasaniti, source bankrate, schalop, sgt bergdahl, reschke, silverstein group, estimate reasonable, mr reschke, professionals executives, raiman, fifield, market snapshot",832,2000-01,2015-09,27,28
41,"jiway, mr saltiel, tradepoint, saltiel, virt, freeserve, easdaq, nasdaq europe, zentaris, fund associations, bipop, temenos, libertysurf, interactive investor, market dealings",212,2000-01,2002-01,8,8
42,"hk cents, mr heywood, mr bo, wukan, ms gu, ordinaries index, cents hk, southern weekly, hk hk, gained hk, heywood death, added hk, kailai, shed hk, 50 hk",4234,2000-01,2015-08,107,121
43,"cao singapore, dafa, falun dafa, hanergy, mr charoen, mr soong, pntr, mr tung, wing hang, hanergy film, stdm, stock connect, huarong, thaibev, tabung",4544,2000-01,2018-01,101,118
44,"mr kloppers, alinta, frankfurt stocks, mr tinkler, ausnet, sp ausnet, kloppers, chip xetra, elsam, euros electronics, techem, minas rio, kloppers said, whitehaven, euros infineon",3892,2000-01,2014-07,91,100
45,"alh, foodland, southcorp, australian leisure, metcash, stockland, ogs, harmony offer, stada, national foods, retail liquor, wmc, mr osmond, gpt, kuka",1966,2000-01,2016-09,54,58
46,"yield newest, jgb futures, eurobond session, cash jgbs, midmarket swaps, year jgb, newest 10, london eurobond, jgb, point midmarket, bund future, jgbs, point euribor, syndicate official, lead december",1947,2000-01,2021-10,76,85
47,"boskalis, ie8, wpd, mr purcell, mr desano, tradepoint, mr bostock, desano, lloyds abbey, mr fama, meguid, nulty, sipprelle, mr antioco, ackermans",1795,2000-01,2013-09,53,58
48,"tse section, section issues, index tse, nikkei futures, volume tse, index section, asahi bank, exchange topix, unchanged volume, yen matsushita, yen advantest, exchange section, yen sumitomo, index tokyo, yen ntt",1855,2000-01,2012-05,57,64
49,"won blue, won hyundai, unchanged volume, won korea, won sk, korea shares, korea composite, 500 won, won seoul, daily 15, pohang iron, 300 won, hyundai electronics, 350 won, cetinkaya",1680,2000-01,2020-04,54,56
