month,n_total_docs,n_outliers_initial,n_outliers_recovered,n_outliers_unassigned,outlier_rate_initial,outlier_rate_final
2000-01,3597,646,0,646,0.1796,0.1796
2000-02,3831,620,22,598,0.1618,0.1561
2000-03,4309,672,27,645,0.156,0.1497
2000-04,3580,564,34,530,0.1575,0.148
2000-05,3930,505,21,484,0.1285,0.1232
2000-06,4044,648,39,609,0.1602,0.1506
2000-07,3843,508,23,485,0.1322,0.1262
2000-08,4048,688,24,664,0.17,0.164
2000-09,3823,594,23,571,0.1554,0.1494
2000-10,4126,659,28,631,0.1597,0.1529
2000-11,3938,463,27,436,0.1176,0.1107
2000-12,3547,651,47,604,0.1835,0.1703
2001-01,3939,696,38,658,0.1767,0.167
2001-02,3820,523,16,507,0.1369,0.1327
2001-03,4242,707,36,671,0.1667,0.1582
2001-04,3915,649,34,615,0.1658,0.1571
2001-05,3927,745,95,650,0.1897,0.1655
2001-06,3489,627,37,590,0.1797,0.1691
2001-07,3449,537,19,518,0.1557,0.1502
2001-08,3292,651,37,614,0.1978,0.1865
2001-09,2858,515,28,487,0.1802,0.1704
2001-10,3122,407,13,394,0.1304,0.1262
2001-11,2847,533,19,514,0.1872,0.1805
2001-12,2437,433,31,402,0.1777,0.165
2002-01,3037,470,24,446,0.1548,0.1469
2002-02,2851,470,30,440,0.1649,0.1543
2002-03,3011,416,10,406,0.1382,0.1348
2002-04,3225,563,27,536,0.1746,0.1662
2002-05,3195,486,32,454,0.1521,0.1421
2002-06,2888,461,30,431,0.1596,0.1492
2002-07,3242,722,32,690,0.2227,0.2128
2002-08,2833,405,10,395,0.143,0.1394
2002-09,2832,592,27,565,0.209,0.1995
2002-10,3275,559,15,544,0.1707,0.1661
2002-11,2844,502,16,486,0.1765,0.1709
2002-12,2689,452,23,429,0.1681,0.1595
2003-01,2962,428,21,407,0.1445,0.1374
2003-02,2604,431,22,409,0.1655,0.1571
2003-03,2762,424,34,390,0.1535,0.1412
2003-04,2912,518,24,494,0.1779,0.1696
2003-05,2536,365,28,337,0.1439,0.1329
2003-06,2666,426,24,402,0.1598,0.1508
2003-07,2900,446,19,427,0.1538,0.1472
2003-08,2459,509,34,475,0.207,0.1932
2003-09,2816,432,32,400,0.1534,0.142
2003-10,2982,578,41,537,0.1938,0.1801
2003-11,2375,431,24,407,0.1815,0.1714
2003-12,2364,357,21,336,0.151,0.1421
2004-01,2480,360,25,335,0.1452,0.1351
2004-02,2350,348,32,316,0.1481,0.1345
2004-03,2782,393,27,366,0.1413,0.1316
2004-04,2691,332,18,314,0.1234,0.1167
2004-05,2435,302,17,285,0.124,0.117
2004-06,2634,417,32,385,0.1583,0.1462
2004-07,2544,474,18,456,0.1863,0.1792
2004-08,2469,367,24,343,0.1486,0.1389
2004-09,2558,388,15,373,0.1517,0.1458
2004-10,2546,454,44,410,0.1783,0.161
2004-11,2700,372,31,341,0.1378,0.1263
2004-12,2675,319,17,302,0.1193,0.1129
2005-01,2614,356,34,322,0.1362,0.1232
2005-02,2415,376,24,352,0.1557,0.1458
2005-03,2813,482,43,439,0.1713,0.1561
2005-04,2570,387,16,371,0.1506,0.1444
2005-05,2503,290,20,270,0.1159,0.1079
2005-06,2557,378,22,356,0.1478,0.1392
2005-07,2389,372,21,351,0.1557,0.1469
2005-08,2595,496,30,466,0.1911,0.1796
2005-09,2665,470,28,442,0.1764,0.1659
2005-10,2428,469,19,450,0.1932,0.1853
2005-11,2468,216,13,203,0.0875,0.0823
2005-12,2329,504,14,490,0.2164,0.2104
2006-01,2317,395,21,374,0.1705,0.1614
2006-02,2394,269,6,263,0.1124,0.1099
2006-03,2767,477,53,424,0.1724,0.1532
2006-04,2289,372,30,342,0.1625,0.1494
2006-05,2668,389,26,363,0.1458,0.1361
2006-06,2607,338,14,324,0.1297,0.1243
2006-07,2334,355,29,326,0.1521,0.1397
2006-08,2564,295,25,270,0.1151,0.1053
2006-09,2386,217,9,208,0.0909,0.0872
2006-10,2483,439,22,417,0.1768,0.1679
2006-11,2515,267,15,252,0.1062,0.1002
2006-12,2169,328,29,299,0.1512,0.1379
2007-01,2575,508,7,501,0.1973,0.1946
2007-02,2377,380,15,365,0.1599,0.1536
2007-03,2788,369,11,358,0.1324,0.1284
2007-04,2582,340,11,329,0.1317,0.1274
2007-05,2868,511,14,497,0.1782,0.1733
2007-06,2709,365,19,346,0.1347,0.1277
2007-07,2670,489,13,476,0.1831,0.1783
2007-08,2844,500,28,472,0.1758,0.166
2007-09,2531,355,27,328,0.1403,0.1296
2007-10,3000,486,25,461,0.162,0.1537
2007-11,2906,416,18,398,0.1432,0.137
2007-12,2782,522,40,482,0.1876,0.1733
2008-01,3507,587,40,547,0.1674,0.156
2008-02,3346,544,32,512,0.1626,0.153
