topic_id,global_top_words,n_docs_total,first_month,last_month,n_months_active,n_subcluster_hits
0,"mr winterkorn, beijing auto, mr schrempp, mr reitzle, nysschen, koenigsegg, mr zetsche, reithofer, speed automatic, mr akerson, mr marchionne, mr toyoda, tengzhong, saikawa, scheele",12437,2000-01,2021-05,225,277
1,"calif secured, calif completed, cerent, issi, format following, onvia, arrowpoint, digitalthink, round additional, hearme, offering weren, paul venture, hp enterprise, prism venture, 11i",3841,2000-01,2021-07,71,99
2,"cao singapore, tom com, singpost, hkt, china netcom, starhub, pccw, tabung, cao holding, mobileone, thrunet, measat, singtel, hanaro, sensetime",3973,2000-01,2021-12,116,142
3,"mr zelaya, mr capriles, mr guaidó, zelaya, capriles, mr maduro, mr chávez, guaidó, baduel, montesinos, micheletti, mr fujimori, mr montesinos, prd, ms fujimori",5517,2000-01,2021-06,169,188
4,"ms druyun, mr smisek, smisek, comair, mr brégier, cseries, buttrick, sam buttrick, alpa, druyun, astar, mr arpey, pilots delta, brégier, gangwal",6766,2000-01,2021-06,138,152
5,"tweber, urbanfetch, webhouse, kara response, etoys, furniture com, mize, lenk, kozmo, clickmango, dressmart, mr lenk, strober, cyberrebate, quibi",2509,2000-01,2021-08,63,69
6,"mr santorum, canvassing board, mr mourdock, county canvassing, section 102, superdelegates, mr jeffords, gov palin, ms bachmann, manual recount, mr huckabee, caucus goers, manual recounts, hopeful stands, mr buttigieg",12572,2000-01,2021-12,164,219
7,"whi, prasugrel, antipsychotics, ephedra, morcellator, remdesivir, morcellators, dr venter, progestin, acomplia, tamoxifen, milligram dose, thiopental, nsaids, morcellation",18005,2000-01,2021-12,227,302
8,"mr rajaratnam, belnick, mr martoma, gruttadauria, chiesi, mr wasendorf, mr picard, tourre, martoma, wasendorf, mr giddens, mr aleynikov, aleynikov, dr waksal, mr horvath",16784,2000-01,2021-12,234,335
9,"tweber, xxxx, musicmatch, pressplay, mr wyler, msv, pii, kazaa, musicnet, network advertisers, zomba, kollar kotelly, readability week, week mailbox, kotelly",4516,2000-01,2011-11,84,107
10,"twe, twx, mr colburn, aol tv, mr pittman, berlow, ms godoff, robert pittman, godoff, shc, broadband isp, colburn, isp service, kordestani, purchasepro",635,2000-01,2009-11,37,40
11,"digital lightwave, tezos, cybercorp, tradescape, ecns, lightwave, wallstreetbets, act release, tradecast, bondbook, marketxt, datek, robinhood, tcv, csfbdirect",544,2000-01,2021-01,22,26
12,"cenovus, markwest, mr mcclendon, pacific dunlop, cinar, mr belden, enervest, oil search, williams partners, mplx, mr mulva, tullow, suttles, trip trades, syncrude",4916,2000-01,2021-04,119,132
13,"opdivo, norvir, tecfidera, praluent, mr soriot, imbruvica, yervoy, revlimid, harvoni, biosimilar, termeer, soriot, ornskov, alere, biosimilars",4152,2000-01,2021-08,104,110
14,"tecnost, mib 30, euros olivetti, seat pg, mibtel, mib30, euros telecom, montedison, nuovo mercato, mibtel index, milan shares, mr cuccia, mr colaninno, cuccia, euros milan",1329,2000-01,2017-01,59,64
15,"ictsi, vinashin, tarisa, bahk, paiboon said, mr pridiyathorn, gen surayud, domestic exports, mr abhisit, bahk said, bank indonesia, mr paiboon, zeti, mr bahk, singapore economy",3119,2000-01,2015-10,109,116
16,"paygo, fairtax, gore plan, amt, mr jeffords, marriage penalty, ms angle, rossotti, security surpluses, child credit, slemrod, amt relief, mr breaux, phase outs, security surplus",7089,2000-01,2021-11,135,153
17,"toysmart, neopets, mr eisner, messrs disney, disney gold, mcbee, stereotype threat, disney shareholders, passione, comcast disney, bowerman, glotzbach, slesinger, aau, onmoney",816,2000-01,2011-02,26,26
18,"daiei, bull dog, banyu, nippon broadcasting, mr kutaragi, ashikaga, yen group, mitsubishi tokyo, ltcb, aiful, mr murakami, standards tokyo, seibu, yashiro, mr idei",3363,2000-01,2021-03,114,137
19,"anatel, tele centro, cofetel, embratel, telesp, starmedia, exxel, celular, patagon, telesp celular, mr galvan, pegaso, cantv, eisa, telmex",549,2000-01,2019-01,40,42
20,"destatis said, destatis, istat said, insee said, office destatis, mr praet, eurocoin, eurostat said, hicp, vliet economist, archer economist, mr weidmann, howard archer, insee, mr duisenberg",7072,2000-01,2018-08,177,214
21,"nehalem, opteron, itanium, tsmc, spil, netbooks, inotera, nanya, x86, openstack, mr otellini, xeon, luczo, calculating engines, mr gelsinger",4545,2000-01,2021-01,136,160
22,"mr rusnak, mr stoiber, mr schaeuble, sarrazin, stoiber, leysen, mr wulff, rusnak, cdu, mr kohl, spd, gyurcsány, schaeuble, mr haider, allfirst",889,2000-01,2020-02,43,43
23,"singson, pesos manila, philippines shares, yasay, mr yasay, bw resources, mr estrada, centavos, pesos ayala, 10 centavos, 50 centavos, manila shares, 20 centavos, ayala land, ilocos",589,2000-01,2006-01,22,27
24,"nouveau marche, led cac, index actively, racal, rose euros, euros ahead, euros paris, thomson csf, euros vivendi, television francaise, 90 euros, euros france, 60 euros, euros cap, alcatel rose",852,2000-01,2011-03,27,32
25,"compound yields, day compound, performance score, simple yields, pbhg, uits, nongovernment funds, muhlenkamp, mr nygren, retail class, day simple, taxable nongovernment, yields assume, barse, definitions notes",5569,2000-01,2021-07,152,166
26,"st 212, street 212, ave 212, marsalis, 9595, bandleader, tel 49, mingus, blue note, tel 44, tel 39, american songbook, bassist, 30 tel, balanchine",6473,2000-01,2013-06,84,110
27,"nozoe, dpj, mr ozawa, mr hatoyama, mr takenaka, mr hayami, mr shirakawa, gpif, hayami, mr kamei, hatoyama, mr mori, mr obuchi, mr kan, kamei",7052,2000-01,2019-12,203,263
28,"index nonfinancial, brien bob, exchange semiconductor, outside stocks, nasdaq software, nasdaq chip, terms dow, stanley high, continental stoxx, excluding stocks, nonfinancial stocks, action stocks, flitter, poor smallcap, tech 35",13555,2000-01,2021-12,236,369
29,"bakers union, coned, twu, budget repair, lirr, seiu, coletti, alpa, la follette, central falls, rooks, employee free, democrats fled, walker budget, nlrb",951,2000-01,2021-12,40,42
30,"cny6, francs sterling, francs pound, sterling trading, mazanec, francs dollar, francs late, currency floats, franc ice, implying fall, francs ice, manimbo, american session, sinche, yen late",8076,2000-01,2020-03,232,308
31,"tel 852, dipendra, hrh, juch, rural tourism, hours written, fonseka, siem reap, 15 admission, dalat, making spare, written readers, readers asian, siem, suggestions hours",397,2000-01,2010-01,15,17
32,"mr navalny, mr gusinsky, mr kuchma, gusinsky, mr bakiyev, mr berezovsky, borodin, mr khodorkovsky, mr yanukovych, mr lukashenko, ms tymoshenko, mr poroshenko, akayev, tatars, bakiyev",5994,2000-01,2021-12,184,198
33,"everaert, euros philips, benchmark 24, cobepa, euros amsterdam, baan, aex, aex index, amsterdam shares, dutch shares, getronics, euros upc, asm lithography, amsterdam main, benchmark 25",477,2000-01,2001-10,17,19
34,"mr stoiber, stoiber, sibiu, mr gaymard, sark, mr jospin, mr blocher, gaymard, mr sommer, mr eichel, holzmann, mr schroeder, edmund stoiber, mr schill, cdu",799,2000-01,2016-06,34,34
35,"ibra, mr wahid, ms megawati, sabirin, manulife indonesia, bank bali, wahid government, tun daim, palmco, sri halim, dharmala, renong, megawati, texmaco, sjahril",1258,2000-01,2018-04,54,58
36,"mr sperry, return page, y2k compliant, y2k, y2k problems, y2k bug, y2k related, y2k rollover, minor glitches, y2k issues, sperry, y2k preparations, y2k problem, millennium bug, mr yardeni",30,2000-01,2000-02,2,2
37,"tel 49, tel 44, st 212, tel 39, 30 tel, tel 852, kunsthalle, canaletto, musee, diebenkorn, hockney, braque, 10 tel, 15 admission, tel 34",2070,2000-01,2013-04,66,70
38,"pacific sector, taiwan taiex, zealand nzx, philippine shares, terms edt, barrel globex, points screen, poly real, stocks laggers, chip hang, pacific stocks, tracks class, terms est, india sensitive, screen trade",5861,2000-01,2020-11,189,213
39,"elektrim, mobilcom, mr esser, mr schmid, mr villalonga, liberty surf, ramqvist, tpsa, mr ricke, gerhard schmid, primacom, mr bon, teledanmark, viag interkom, upc",2550,2000-01,2014-09,69,86
40,"bathrooms half, ibuying, otteau, spieker, moinian, opendoor, citi habitats, conditions interviews, degrees source, miller appraiser, streeteasy, torto, bedrooms bathrooms, apartment reits, mack cali",6801,2000-01,2021-12,179,194
41,"jiway, tradepoint, called ix, mr saltiel, gigabell, panafieu, ix merger, mr cruickshank, gruppen ab, easdaq, nasdaq europe, tradepoint financial, bipop, om gruppen, don cruickshank",691,2000-01,2013-02,25,28
42,"hk cents, 50 hk, cents hk, ordinaries index, hk hk, gained hk, 25 hk, shed hk, added hk, volume worth, hanergy, chip hang, ordinaries, lost hk, 75 hk",1476,2000-01,2020-06,54,57
43,"falun dafa, dafa, mr bo, mr heywood, mr tung, wukan, mr soong, pntr, occupy central, mr ai, mr lien, tung administration, soong, mrs chan, kmt",6934,2000-01,2021-12,175,205
44,"frankfurt stocks, chip xetra, frankfurt shares, euros electronics, epcos, euros sap, euros infineon, euros siemens, euros software, euros frankfurt, heavyweight deutsche, euros daimlerchrysler, euros deutsche, 00 euros, frankfurt blue",592,2000-01,2001-08,19,25
45,"vasotec, jos bank, aéropostale, optical films, established stores, fingerhut, jdn, vcg, men wearhouse, mr lacy, sunterra, mr hoops, powderject, wearhouse, warner lambert",3362,2000-01,2017-02,77,87
46,"yield newest, jgb futures, year jgb, jgb, eurobond session, newest 10, cash jgbs, midmarket swaps, london eurobond, jgbs, bund future, benchmark 75, point midmarket, bond 2009, point euribor",1428,2000-01,2021-05,92,95
47,"cobepa, hbg, symbion, trafford centre, australian leisure, ogs, mr osmond, castorama, boskalis, alh, oberthur, tradepoint, bid abbey, costain, healthscope",1777,2000-01,2015-03,63,65
48,"tse section, section issues, nikkei futures, index tse, topix index, index tokyo, nasdaq japan, yen ntt, asahi bank, exchange section, yen nec, yen sumitomo, yen matsushita, yen advantest, 225 average",1665,2000-01,2019-12,73,80
49,"won pohang, won blue, won hyundai, won seoul, won sk, won korea, korea shares, unchanged volume, 300 won, 350 won, 500 won, hyundai electronics, kosdaq, korea composite, 700 won",399,2000-01,2017-08,21,21
50,"diesel futures, rbob settled, blendstock, gasoline blendstock, blendstock rbob, gasoline contract, benchmark gasoline, rbob, electronic session, barrel decrease, lipow, reformulated gasoline, crude ice, distillates include, oil associates",11178,2000-01,2021-07,238,296
51,"zimbra, allchin, pocket pc, mr myhrvold, alienware, windows xp, windows 2000, judge jackson, mr belluzzo, xps, smart tags, wap, ohura, cyberrebate, igi",2651,2000-01,2016-10,59,68
52,"cny6, hukou, currency floats, pboc, implying fall, fall yuan, social financing, parity rate, central parity, cbrc, yuan central, nondeliverable forward, yuan deposits, floats freely, offshore yuan",9078,2000-01,2021-12,196,261
53,"stock cnx, volume bse, cnx nifty, nifty index, 30 sensex, rupees hdfc, rupees icici, rupees tata, rupees reliance, rupees mumbai, share nifty, 55 rupees, nifty fell, 65 rupees, 00 rupees",2153,2000-01,2017-04,83,94
54,"zurich allied, 50 francs, rose francs, francs novartis, francs zurich, francs pharmaceutical, ubs gained, francs nestle, francs roche, 13 francs, swiss market, zurich shares, swiss shares, roche fell, novartis gained",516,2000-01,2018-12,22,22
