topic_id,global_top_words,n_docs_total,first_month,last_month,n_months_active,n_subcluster_hits
0,"mr winterkorn, beijing auto, mr schrempp, mr reitzle, nysschen, koenigsegg, mr zetsche, reithofer, speed automatic, mr akerson, mr marchionne, mr toyoda, tengzhong, saikawa, scheele",12431,2000-01,2021-05,225,271
1,"calif secured, calif completed, cerent, issi, format following, onvia, arrowpoint, digitalthink, round additional, hearme, offering weren, paul venture, hp enterprise, prism venture, 11i",3838,2000-01,2021-07,71,96
2,"cao singapore, tom com, singpost, hkt, china netcom, starhub, pccw, tabung, cao holding, mobileone, thrunet, measat, singtel, hanaro, sensetime",3920,2000-01,2021-12,95,107
3,"mr zelaya, mr capriles, mr guaidó, zelaya, capriles, mr maduro, mr chávez, guaidó, baduel, montesinos, micheletti, mr fujimori, mr montesinos, prd, ms fujimori",5510,2000-01,2020-02,164,181
4,"ms druyun, mr smisek, smisek, comair, mr brégier, cseries, buttrick, sam buttrick, alpa, druyun, astar, mr arpey, pilots delta, brégier, gangwal",6762,2000-01,2021-06,138,149
5,"tweber, urbanfetch, webhouse, kara response, etoys, furniture com, mize, lenk, kozmo, clickmango, dressmart, mr lenk, strober, cyberrebate, quibi",2503,2000-01,2021-08,59,63
6,"mr santorum, canvassing board, mr mourdock, county canvassing, section 102, superdelegates, mr jeffords, gov palin, ms bachmann, manual recount, mr huckabee, caucus goers, manual recounts, hopeful stands, mr buttigieg",12562,2000-01,2021-12,161,211
7,"whi, prasugrel, antipsychotics, ephedra, morcellator, remdesivir, morcellators, dr venter, progestin, acomplia, tamoxifen, milligram dose, thiopental, nsaids, morcellation",18005,2000-01,2021-12,227,302
8,"mr rajaratnam, belnick, mr martoma, gruttadauria, chiesi, mr wasendorf, mr picard, tourre, martoma, wasendorf, mr giddens, mr aleynikov, aleynikov, dr waksal, mr horvath",16770,2000-01,2021-12,234,322
9,"tweber, xxxx, musicmatch, pressplay, mr wyler, msv, pii, kazaa, musicnet, network advertisers, zomba, kollar kotelly, readability week, week mailbox, kotelly",4506,2000-01,2011-11,75,97
10,"twe, twx, mr colburn, aol tv, mr pittman, berlow, ms godoff, robert pittman, godoff, shc, broadband isp, colburn, isp service, kordestani, purchasepro",605,2000-01,2006-02,18,18
11,"digital lightwave, tezos, cybercorp, tradescape, ecns, lightwave, wallstreetbets, act release, tradecast, bondbook, marketxt, datek, robinhood, tcv, csfbdirect",534,2000-01,2021-01,17,17
12,"cenovus, markwest, mr mcclendon, pacific dunlop, cinar, mr belden, enervest, oil search, williams partners, mplx, mr mulva, tullow, suttles, trip trades, syncrude",4913,2000-01,2021-04,116,129
13,"opdivo, norvir, tecfidera, praluent, mr soriot, imbruvica, yervoy, revlimid, harvoni, biosimilar, termeer, soriot, ornskov, alere, biosimilars",4152,2000-01,2021-08,104,110
14,"tecnost, mib 30, euros olivetti, seat pg, mibtel, mib30, euros telecom, montedison, nuovo mercato, mibtel index, milan shares, mr cuccia, mr colaninno, cuccia, euros milan",1317,2000-01,2017-01,50,53
15,"ictsi, vinashin, tarisa, bahk, paiboon said, mr pridiyathorn, gen surayud, domestic exports, mr abhisit, bahk said, bank indonesia, mr paiboon, zeti, mr bahk, singapore economy",3093,2000-01,2013-10,94,95
16,"paygo, fairtax, gore plan, amt, mr jeffords, marriage penalty, ms angle, rossotti, security surpluses, child credit, slemrod, amt relief, mr breaux, phase outs, security surplus",7085,2000-01,2021-11,133,149
17,"toysmart, neopets, mr eisner, messrs disney, disney gold, mcbee, stereotype threat, disney shareholders, passione, comcast disney, bowerman, glotzbach, slesinger, aau, onmoney",816,2000-01,2011-02,26,26
18,"daiei, bull dog, banyu, nippon broadcasting, mr kutaragi, ashikaga, yen group, mitsubishi tokyo, ltcb, aiful, mr murakami, standards tokyo, seibu, yashiro, mr idei",3333,2000-01,2020-08,103,116
19,"anatel, tele centro, cofetel, embratel, telesp, starmedia, exxel, celular, patagon, telesp celular, mr galvan, pegaso, cantv, eisa, telmex",517,2000-01,2004-06,17,17
